node1,node2,bwd,delay,pkloss
1,7,99999.758592,0.929117,0.0
2,5,179999.711651,0.818491,0.0
2,6,24999.718345,1.71721,0.0
2,11,189999.758582,0.807762,0.0
2,18,219999.758592,1.221061,0.0
2,21,99999.758582,0.84126,0.0
2,23,24999.718357,0.773907,0.0
3,21,24999.758582,0.977278,0.0
4,5,24999.758592,0.97549,0.0
4,14,99999.758592,1.421809,0.0
5,8,99999.758592,0.938535,0.0
5,11,199999.758582,0.56994,0.0
5,20,24999.758592,0.958443,0.0
6,13,99999.718345,0.703573,0.0
6,18,99999.718345,0.799537,0.0
6,19,99999.758572,0.807047,0.0
7,11,99999.758582,0.835419,0.0
8,9,99999.758592,1.089334,0.0
10,16,99999.718357,0.840187,0.0
11,18,259999.758582,0.72372,0.0
12,22,99999.758582,0.833273,0.0
15,20,24999.718357,0.839949,0.0
16,18,24999.758592,2.718925,0.0
17,23,24999.718357,0.686765,0.0
18,22,99999.758582,2.570391,0.0
